characterId,characterNum,characterName,group,role,battleStyleName,battleStyleType,styleIndex,skillType,tableKind,skillName,headers,row
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","base","Delaware Smash Air Force","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.1\"",\""58\"",\""x6\"",\""x1\"",\""1s\"",\""50\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","base","Delaware Smash Air Force","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.2\"",\""60\"",\""x6\"",\""x1\"",\""1s\"",\""50\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","base","Delaware Smash Air Force","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.3\"",\""62\"",\""x6\"",\""x1\"",\""1s\"",\""50\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","base","Delaware Smash Air Force","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.4\"",\""66\"",\""x7\"",\""x1\"",\""1s\"",\""50\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","base","Delaware Smash Air Force","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.5\"",\""68\"",\""x7\"",\""x1\"",\""1s\"",\""50\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","base","Delaware Smash Air Force","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.6\"",\""70\"",\""x7\"",\""x1\"",\""1s\"",\""50\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","base","Delaware Smash Air Force","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.7\"",\""72\"",\""x7\"",\""x1\"",\""1s\"",\""50\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","base","Delaware Smash Air Force","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.8\"",\""74\"",\""x7\"",\""x1\"",\""1s\"",\""50\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","base","Delaware Smash Air Force","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.9\"",\""80\"",\""x8\"",\""x1\"",\""1s\"",\""50\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","additional","Delaware Smash Air Force","""[\""Type\"",\""Level\"",\""Damage\"",\""Down Power\""]""","""[\""Charge (チャージ)\"",\""Lv.1\"",\""100\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","additional","Delaware Smash Air Force","""[\""Type\"",\""Level\"",\""Damage\"",\""Down Power\""]""","""[\""Charge (チャージ)\"",\""Lv.2\"",\""105\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","additional","Delaware Smash Air Force","""[\""Type\"",\""Level\"",\""Damage\"",\""Down Power\""]""","""[\""Charge (チャージ)\"",\""Lv.3\"",\""110\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","additional","Delaware Smash Air Force","""[\""Type\"",\""Level\"",\""Damage\"",\""Down Power\""]""","""[\""Charge (チャージ)\"",\""Lv.4\"",\""115\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","additional","Delaware Smash Air Force","""[\""Type\"",\""Level\"",\""Damage\"",\""Down Power\""]""","""[\""Charge (チャージ)\"",\""Lv.5\"",\""120\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","additional","Delaware Smash Air Force","""[\""Type\"",\""Level\"",\""Damage\"",\""Down Power\""]""","""[\""Charge (チャージ)\"",\""Lv.6\"",\""125\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","additional","Delaware Smash Air Force","""[\""Type\"",\""Level\"",\""Damage\"",\""Down Power\""]""","""[\""Charge (チャージ)\"",\""Lv.7\"",\""130\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","additional","Delaware Smash Air Force","""[\""Type\"",\""Level\"",\""Damage\"",\""Down Power\""]""","""[\""Charge (チャージ)\"",\""Lv.8\"",\""135\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","alpha","additional","Delaware Smash Air Force","""[\""Type\"",\""Level\"",\""Damage\"",\""Down Power\""]""","""[\""Charge (チャージ)\"",\""Lv.9\"",\""140\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","beta","base","St. Louis Smash","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.1\"",\""120\"",\""x1\"",\""x1\"",\""8s\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","beta","base","St. Louis Smash","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.2\"",\""131\"",\""x1\"",\""x1\"",\""8s\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","beta","base","St. Louis Smash","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.3\"",\""142\"",\""x1\"",\""x1\"",\""8s\"",\""100\""]"""
"izuku","1","Izuku Midoriya","Hero","Assault","Izuku Midoriya","Assault","0","beta","base","St. Louis Smash","""[\""Level\"",\""Damage\"",\""Ammo\"",\""Use Ammo\"",\""Reload\"",\""Down Power\""]""","""[\""Lv.4\"",\""153\"",\""x2\"",\""x1\"",\""8s\"",\""100\""]"""
